,name,raw_org,raw_dest,p,best_h
0,N_10_PL_0.25_R_0.25_V_10,"0, 0, 41, 0, 12, 0, 41, 0, 0, 36","8, 18, 31, 25, 0, 32, 38, 4, 26, 0",1,0
1,N_10_PL_0.25_R_0.25_V_10,"0, 0, 41, 0, 12, 0, 41, 0, 0, 36","8, 18, 31, 25, 0, 32, 38, 4, 26, 0",5,0
2,N_10_PL_0.25_R_0.25_V_10,"0, 0, 41, 0, 12, 0, 41, 0, 0, 36","8, 18, 31, 25, 0, 32, 38, 4, 26, 0",10,0
3,N_10_PL_0.25_R_0.25_V_10,"0, 0, 41, 0, 12, 0, 41, 0, 0, 36","8, 18, 31, 25, 0, 32, 38, 4, 26, 0",20,0
4,N_10_PL_0.25_R_0.25_V_11,"28, 0, 25, 0, 41, 0, 0, 0, 0, 41","0, 11, 0, 3, 14, 23, 22, 24, 3, 32",1,0
5,N_10_PL_0.25_R_0.25_V_11,"28, 0, 25, 0, 41, 0, 0, 0, 0, 41","0, 11, 0, 3, 14, 23, 22, 24, 3, 32",5,0
6,N_10_PL_0.25_R_0.25_V_11,"28, 0, 25, 0, 41, 0, 0, 0, 0, 41","0, 11, 0, 3, 14, 23, 22, 24, 3, 32",10,0
7,N_10_PL_0.25_R_0.25_V_11,"28, 0, 25, 0, 41, 0, 0, 0, 0, 41","0, 11, 0, 3, 14, 23, 22, 24, 3, 32",20,0
8,N_10_PL_0.25_R_0.25_V_12,"18, 0, 0, 0, 0, 0, 0, 12, 0, 41","0, 38, 23, 1, 40, 29, 20, 41, 30, 33",1,0
9,N_10_PL_0.25_R_0.25_V_12,"18, 0, 0, 0, 0, 0, 0, 12, 0, 41","0, 38, 23, 1, 40, 29, 20, 41, 30, 33",5,0
10,N_10_PL_0.25_R_0.25_V_12,"18, 0, 0, 0, 0, 0, 0, 12, 0, 41","0, 38, 23, 1, 40, 29, 20, 41, 30, 33",10,0
11,N_10_PL_0.25_R_0.25_V_12,"18, 0, 0, 0, 0, 0, 0, 12, 0, 41","0, 38, 23, 1, 40, 29, 20, 41, 30, 33",20,0
12,N_10_PL_0.25_R_0.25_V_13,"1, 0, 0, 41, 0, 0, 41, 0, 9, 0","0, 17, 33, 17, 13, 22, 10, 9, 0, 32",1,0
13,N_10_PL_0.25_R_0.25_V_13,"1, 0, 0, 41, 0, 0, 41, 0, 9, 0","0, 17, 33, 17, 13, 22, 10, 9, 0, 32",5,0
14,N_10_PL_0.25_R_0.25_V_13,"1, 0, 0, 41, 0, 0, 41, 0, 9, 0","0, 17, 33, 17, 13, 22, 10, 9, 0, 32",10,0
15,N_10_PL_0.25_R_0.25_V_13,"1, 0, 0, 41, 0, 0, 41, 0, 9, 0","0, 17, 33, 17, 13, 22, 10, 9, 0, 32",20,0
16,N_10_PL_0.25_R_0.25_V_14,"0, 0, 41, 0, 0, 0, 27, 0, 0, 19","29, 7, 25, 13, 30, 12, 41, 24, 11, 0",1,0
17,N_10_PL_0.25_R_0.25_V_14,"0, 0, 41, 0, 0, 0, 27, 0, 0, 19","29, 7, 25, 13, 30, 12, 41, 24, 11, 0",5,0
18,N_10_PL_0.25_R_0.25_V_14,"0, 0, 41, 0, 0, 0, 27, 0, 0, 19","29, 7, 25, 13, 30, 12, 41, 24, 11, 0",10,0
19,N_10_PL_0.25_R_0.25_V_14,"0, 0, 41, 0, 0, 0, 27, 0, 0, 19","29, 7, 25, 13, 30, 12, 41, 24, 11, 0",20,0
20,N_10_PL_0.25_R_0.5_V_10,"16, 41, 29, 41, 17, 0, 20, 7, 0, 0","0, 9, 0, 19, 0, 30, 0, 0, 34, 2",1,0
21,N_10_PL_0.25_R_0.5_V_10,"16, 41, 29, 41, 17, 0, 20, 7, 0, 0","0, 9, 0, 19, 0, 30, 0, 0, 34, 2",5,0
22,N_10_PL_0.25_R_0.5_V_10,"16, 41, 29, 41, 17, 0, 20, 7, 0, 0","0, 9, 0, 19, 0, 30, 0, 0, 34, 2",10,0
23,N_10_PL_0.25_R_0.5_V_10,"16, 41, 29, 41, 17, 0, 20, 7, 0, 0","0, 9, 0, 19, 0, 30, 0, 0, 34, 2",20,0
24,N_10_PL_0.25_R_0.5_V_11,"40, 39, 0, 30, 0, 27, 0, 41, 0, 1","0, 0, 26, 0, 9, 41, 25, 2, 21, 0",1,0
25,N_10_PL_0.25_R_0.5_V_11,"40, 39, 0, 30, 0, 27, 0, 41, 0, 1","0, 0, 26, 0, 9, 41, 25, 2, 21, 0",5,0
26,N_10_PL_0.25_R_0.5_V_11,"40, 39, 0, 30, 0, 27, 0, 41, 0, 1","0, 0, 26, 0, 9, 41, 25, 2, 21, 0",10,0
27,N_10_PL_0.25_R_0.5_V_11,"40, 39, 0, 30, 0, 27, 0, 41, 0, 1","0, 0, 26, 0, 9, 41, 25, 2, 21, 0",20,0
