,name,raw_org,raw_dest,p,handshake
0,N_10_PL_0.25_R_0.25_V_15,"0, 17, 9, 0, 41, 0, 0, 0, 0, 0","11, 0, 41, 31, 5, 20, 15, 25, 32, 22",1,0
1,N_10_PL_0.25_R_0.25_V_15,"0, 17, 9, 0, 41, 0, 0, 0, 0, 0","11, 0, 41, 31, 5, 20, 15, 25, 32, 22",5,0
2,N_10_PL_0.25_R_0.25_V_15,"0, 17, 9, 0, 41, 0, 0, 0, 0, 0","11, 0, 41, 31, 5, 20, 15, 25, 32, 22",10,0
3,N_10_PL_0.25_R_0.25_V_15,"0, 17, 9, 0, 41, 0, 0, 0, 0, 0","11, 0, 41, 31, 5, 20, 15, 25, 32, 22",20,0
4,N_10_PL_0.25_R_0.25_V_16,"0, 0, 0, 21, 0, 41, 0, 0, 24, 0","37, 37, 19, 41, 10, 31, 18, 21, 0, 35",1,0
5,N_10_PL_0.25_R_0.25_V_16,"0, 0, 0, 21, 0, 41, 0, 0, 24, 0","37, 37, 19, 41, 10, 31, 18, 21, 0, 35",5,0
6,N_10_PL_0.25_R_0.25_V_16,"0, 0, 0, 21, 0, 41, 0, 0, 24, 0","37, 37, 19, 41, 10, 31, 18, 21, 0, 35",10,0
7,N_10_PL_0.25_R_0.25_V_16,"0, 0, 0, 21, 0, 41, 0, 0, 24, 0","37, 37, 19, 41, 10, 31, 18, 21, 0, 35",20,0
8,N_10_PL_0.25_R_0.25_V_17,"0, 0, 0, 0, 34, 0, 0, 0, 0, 4","14, 13, 14, 30, 41, 35, 24, 8, 32, 41",1,0
9,N_10_PL_0.25_R_0.25_V_17,"0, 0, 0, 0, 34, 0, 0, 0, 0, 4","14, 13, 14, 30, 41, 35, 24, 8, 32, 41",5,0
10,N_10_PL_0.25_R_0.25_V_17,"0, 0, 0, 0, 34, 0, 0, 0, 0, 4","14, 13, 14, 30, 41, 35, 24, 8, 32, 41",10,0
11,N_10_PL_0.25_R_0.25_V_17,"0, 0, 0, 0, 34, 0, 0, 0, 0, 4","14, 13, 14, 30, 41, 35, 24, 8, 32, 41",20,0
12,N_10_PL_0.25_R_0.25_V_18,"0, 0, 41, 0, 0, 0, 41, 1, 25, 0","7, 40, 11, 35, 7, 8, 38, 0, 0, 40",1,0
13,N_10_PL_0.25_R_0.25_V_18,"0, 0, 41, 0, 0, 0, 41, 1, 25, 0","7, 40, 11, 35, 7, 8, 38, 0, 0, 40",5,0
14,N_10_PL_0.25_R_0.25_V_18,"0, 0, 41, 0, 0, 0, 41, 1, 25, 0","7, 40, 11, 35, 7, 8, 38, 0, 0, 40",10,0
15,N_10_PL_0.25_R_0.25_V_18,"0, 0, 41, 0, 0, 0, 41, 1, 25, 0","7, 40, 11, 35, 7, 8, 38, 0, 0, 40",20,0
16,N_10_PL_0.25_R_0.25_V_19,"41, 0, 14, 0, 0, 0, 0, 0, 29, 0","9, 1, 41, 33, 20, 10, 35, 28, 0, 28",1,0
17,N_10_PL_0.25_R_0.25_V_19,"41, 0, 14, 0, 0, 0, 0, 0, 29, 0","9, 1, 41, 33, 20, 10, 35, 28, 0, 28",5,0
18,N_10_PL_0.25_R_0.25_V_19,"41, 0, 14, 0, 0, 0, 0, 0, 29, 0","9, 1, 41, 33, 20, 10, 35, 28, 0, 28",10,0
19,N_10_PL_0.25_R_0.25_V_19,"41, 0, 14, 0, 0, 0, 0, 0, 29, 0","9, 1, 41, 33, 20, 10, 35, 28, 0, 28",20,0
