title,mip_bt,mip_ct1,mip_ct2,makespan,ct1,ct1_lt,ct1_et,ct1_pt,ct1_wt,ct2,ct2_lt,ct2_et,ct2_pt,ct2_wt,num_handover,time,type,handshake
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,226,223,168,27,24,4,226,141,71,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,233,227,168,29,24,6,233,141,78,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,233,231,168,37,24,2,233,141,78,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,233,226,168,30,24,4,233,141,78,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,233,227,168,27,24,8,233,141,78,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,231,229,168,37,24,0,231,141,72,14,4,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,229,229,168,31,24,6,229,141,74,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,228,225,168,31,24,2,228,141,71,14,2,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,230,230,168,28,24,10,227,141,72,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,228,227,168,35,24,0,228,141,71,14,2,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,229,229,168,36,24,1,227,141,72,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,230,230,168,28,24,10,227,141,72,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,227,227,168,35,24,0,227,141,72,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,233,231,168,39,24,0,233,141,78,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,233,228,168,28,24,8,233,141,78,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,233,228,168,28,24,8,233,141,78,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,241,238,168,46,24,0,241,141,86,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,226,219,168,27,24,0,226,141,71,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,230,230,168,36,24,2,227,141,72,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,229,229,168,37,24,0,227,141,72,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,229,229,168,28,24,9,227,141,72,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,236,236,168,44,24,0,235,141,74,14,6,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,235,229,168,31,24,6,235,141,80,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,229,229,168,36,24,1,227,141,72,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,229,229,168,36,24,1,227,141,72,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,235,229,168,29,24,8,235,141,80,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,229,229,168,37,24,0,227,141,72,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,230,230,168,29,24,9,227,141,72,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,233,228,168,30,24,6,233,141,78,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,233,227,168,29,24,6,233,141,78,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,233,227,168,29,24,6,233,141,78,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,235,229,168,37,24,0,235,141,80,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,227,227,168,35,24,0,227,141,72,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,229,222,168,28,24,2,229,141,72,14,2,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,233,227,168,31,24,4,233,141,78,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,233,226,168,30,24,4,233,141,78,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,233,231,168,31,24,8,233,141,78,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,236,231,168,36,24,3,236,141,80,14,1,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,233,227,168,29,24,6,233,141,78,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,233,228,168,36,24,0,233,141,78,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,231,221,168,28,24,1,231,141,71,14,5,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,235,227,168,31,24,4,235,141,80,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,230,230,168,38,24,0,227,141,72,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,226,223,168,27,24,4,226,141,71,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,233,228,168,28,24,8,233,141,78,14,0,4,0.000000,0,0
N_15_PL_0.25_R_0.25_V_0_p_1,240,240,240,230,230,168,28,24,10,227,141,72,14,0,4,0.000000,0,0
