title,mip_bt,mip_ct1,mip_ct2,makespan,ct1,ct1_lt,ct1_et,ct1_pt,ct1_wt,ct2,ct2_lt,ct2_et,ct2_pt,ct2_wt,num_handover,time,type,handshake
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.2112,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,207,146,15,16,30,208,108,86,10,4,3,0.2146,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.2087,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,213,213,146,51,16,0,212,108,94,10,0,3,0.2173,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,213,213,146,51,16,0,213,108,94,10,1,3,0.1964,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.2191,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,213,213,146,51,16,0,212,108,86,10,8,3,0.1966,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.1952,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.2063,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,213,213,146,51,16,0,212,108,94,10,0,3,0.1791,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.2066,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.2092,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,213,213,146,51,16,0,213,108,94,10,1,3,0.2078,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.2078,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.2103,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.2058,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.2078,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.2036,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.2105,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,213,213,146,51,16,0,212,108,94,10,0,3,0.2072,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,207,146,15,16,30,208,108,86,10,4,3,0.2114,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.2143,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.2061,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.2015,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,213,212,146,15,16,35,213,108,94,10,1,3,0.1977,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,213,213,146,51,16,0,213,108,86,10,9,3,0.2199,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,213,213,146,51,16,0,212,108,86,10,8,3,0.2035,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.2035,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.1906,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.1947,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,213,213,146,51,16,0,213,108,94,10,1,3,0.2009,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,208,108,86,10,4,3,0.2103,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.2108,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,208,108,86,10,4,3,0.2081,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.1867,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.2007,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.2131,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,213,213,146,51,16,0,213,108,94,10,1,3,0.1964,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.2108,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.1878,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,208,108,86,10,4,3,0.1974,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,213,213,146,51,16,0,212,108,94,10,0,3,0.2017,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.2057,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.2006,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.2138,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,213,213,146,51,16,0,213,108,94,10,1,3,0.2085,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.2041,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.1982,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,208,208,146,15,16,31,206,108,88,10,0,3,0.1981,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,204,204,204,213,213,146,51,16,0,213,108,94,10,1,3,0.2037,0,0
